Date,Close
02/01/2014,0.0316
03/01/2014,0.0316
06/01/2014,0.0316
07/01/2014,0.0316
08/01/2014,0.0316
09/01/2014,0.0317
10/01/2014,0.0317
13/01/2014,0.0317
14/01/2014,0.0317
15/01/2014,0.0317
16/01/2014,0.0305
17/01/2014,0.0305
20/01/2014,0.0305
21/01/2014,0.0305
22/01/2014,0.0305
23/01/2014,0.0313
24/01/2014,0.0313
27/01/2014,0.0313
28/01/2014,0.0313
29/01/2014,0.0313
30/01/2014,0.0318
31/01/2014,0.0318
04/02/2014,0.0318
05/02/2014,0.0318
06/02/2014,0.0318
07/02/2014,0.0318
10/02/2014,0.0318
11/02/2014,0.0318
12/02/2014,0.0318
13/02/2014,0.0316
14/02/2014,0.0316
17/02/2014,0.0316
18/02/2014,0.0316
19/02/2014,0.0316
20/02/2014,0.0314
21/02/2014,0.0314
24/02/2014,0.0314
25/02/2014,0.0314
26/02/2014,0.0314
27/02/2014,0.0315
28/02/2014,0.0315
03/03/2014,0.0315
04/03/2014,0.0315
05/03/2014,0.0315
06/03/2014,0.0316
07/03/2014,0.0316
10/03/2014,0.0316
11/03/2014,0.0316
12/03/2014,0.0316
13/03/2014,0.0314
14/03/2014,0.0314
18/03/2014,0.0314
19/03/2014,0.0314
20/03/2014,0.0319
21/03/2014,0.0319
24/03/2014,0.0319
25/03/2014,0.0319
26/03/2014,0.0319
27/03/2014,0.0319
28/03/2014,0.0319
31/03/2014,0.0319
01/04/2014,0.0319
02/04/2014,0.0319
03/04/2014,0.0322
04/04/2014,0.0322
07/04/2014,0.0322
08/04/2014,0.0322
09/04/2014,0.0322
10/04/2014,0.032
11/04/2014,0.032
14/04/2014,0.032
15/04/2014,0.032
16/04/2014,0.0322
21/04/2014,0.0322
22/04/2014,0.0322
23/04/2014,0.0322
24/04/2014,0.0325
25/04/2014,0.0325
28/04/2014,0.0325
29/04/2014,0.0325
30/04/2014,0.0325
02/05/2014,0.0325
05/05/2014,0.0325
06/05/2014,0.0325
07/05/2014,0.0325
08/05/2014,0.0325
09/05/2014,0.0325
12/05/2014,0.0325
13/05/2014,0.0325
14/05/2014,0.0325
15/05/2014,0.0326
16/05/2014,0.0326
19/05/2014,0.0326
20/05/2014,0.0326
21/05/2014,0.0326
22/05/2014,0.0328
23/05/2014,0.0328
26/05/2014,0.0328
27/05/2014,0.0328
28/05/2014,0.0328
29/05/2014,0.0331
30/05/2014,0.0331
02/06/2014,0.0331
03/06/2014,0.0331
04/06/2014,0.0331
05/06/2014,0.0329
06/06/2014,0.0329
09/06/2014,0.0329
10/06/2014,0.0329
11/06/2014,0.0329
12/06/2014,0.0292
13/06/2014,0.0292
16/06/2014,0.0292
17/06/2014,0.0292
18/06/2014,0.0292
19/06/2014,0.0295
20/06/2014,0.0295
23/06/2014,0.0295
24/06/2014,0.0295
25/06/2014,0.0295
26/06/2014,0.029
27/06/2014,0.029
30/06/2014,0.029
01/07/2014,0.029
02/07/2014,0.029
03/07/2014,0.0285
04/07/2014,0.0285
07/07/2014,0.0285
08/07/2014,0.0285
09/07/2014,0.0285
10/07/2014,0.0285
11/07/2014,0.0285
14/07/2014,0.0285
15/07/2014,0.0285
16/07/2014,0.0285
17/07/2014,0.0284
18/07/2014,0.0284
21/07/2014,0.0284
22/07/2014,0.0284
23/07/2014,0.0284
24/07/2014,0.0282
25/07/2014,0.0282
28/07/2014,0.0282
29/07/2014,0.0282
30/07/2014,0.0282
31/07/2014,0.028
01/08/2014,0.028
04/08/2014,0.028
